section,avg_ms,flynn_class,serial_or_parallel

metric,value
serial_fraction,0.500000
parallel_fraction,0.500000
amdahl_1_cores,1.0000
gustafson_1_cores,1.0000
amdahl_2_cores,1.3333
gustafson_2_cores,1.5000
amdahl_4_cores,1.6000
gustafson_4_cores,2.5000
amdahl_6_cores,1.7143
gustafson_6_cores,3.5000
amdahl_8_cores,1.7778
gustafson_8_cores,4.5000
amdahl_12_cores,1.8462
gustafson_12_cores,6.5000
amdahl_16_cores,1.8824
gustafson_16_cores,8.5000

performance_evaluation,value
